Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Interested Type of Books,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
9,6,2,9,no,yes,Data Science,Machine Learning,medium,good,developer,Machine Learning,security,yes,Travel,Technical,hard worker,no,yes,Data Scientist
2,4,10,7,yes,no,robotics process automation (RPA),Robotic Process Automation (RPA),excellent,good,developer,Robotics,Big Data Companies,no,Cookbooks,Management,smart worker,yes,no,IT Project Manager
3,4,6,3,no,yes,ai for healthcare,AI for Healthcare,good,very good,cloud computing,AI Research,security,no,Cookbooks,Technical,hard worker,yes,yes,AI Specialist
2,3,8,3,no,yes,Data Science,AI,excellent,medium,cloud computing,Data Science,Big Data Companies,no,Travel,Technical,smart worker,yes,yes,Big Data Engineer
4,8,3,4,no,no,devops certified engineer,DevOps,good,excellent,security,DevOps,Testing and Maintainance Services,no,Travel,Technical,hard worker,yes,yes,DevOps Engineer
6,7,1,4,no,yes,blockchain developer,Blockchain Technologies,medium,medium,cloud computing,Blockchain Development,Blockchain Technology Firms,yes,Drama,Technical,smart worker,no,no,Blockchain Developer
8,10,10,2,no,yes,blockchain developer,Blockchain Technologies,excellent,medium,developer,Blockchain Development,developer,no,Childrens,Technical,smart worker,no,yes,Blockchain Developer
7,1,1,1,yes,yes,Product Management Professional (PMP),Product Management,very good,very good,cloud computing,Product Management,Product based,no,Mystery,Management,hard worker,no,no,Product Manager
6,6,6,1,no,no,Cybersecurity,AI,very good,good,developer,Machine Learning,Cybersecurity Firms,yes,Science,Technical,smart worker,no,no,Cybersecurity Analyst
6,8,3,1,no,no,Data Science,AI,medium,very good,cloud computing,Machine Learning,developer,yes,History,Technical,hard worker,yes,yes,Data Scientist
6,6,1,7,no,yes,Product Management Professional (PMP),Product Management,excellent,very good,security,Product Management,Service Based,yes,Action and Adventure,Management,hard worker,no,no,Product Manager
6,2,7,7,yes,no,ar/vr development,AR/VR Development,medium,excellent,cloud computing,Software Development,Big Data Companies,yes,Guide,Technical,hard worker,yes,no,Systems Analyst
5,0,4,7,yes,no,robotics process automation (RPA),Robotic Process Automation (RPA),very good,medium,security,Robotics,Big Data Companies,yes,Poetry,Management,hard worker,no,yes,IT Project Manager
2,5,7,5,no,no,Data Science,Data Science,very good,excellent,developer,AI,Data Science Firms,yes,Horror,Technical,hard worker,yes,no,Big Data Engineer
3,0,1,7,no,no,Certified AI Engineer,Cloud Computing,medium,good,security,Cloud Computing,developer,yes,Drama,Technical,hard worker,yes,no,Cloud Solutions Architect
7,8,2,3,no,yes,Certified AI Engineer,Cloud Computing,excellent,good,security,Cloud Computing,developer,no,Childrens,Technical,hard worker,no,no,Cloud Solutions Architect
9,1,7,7,yes,yes,Data Science,Data Science,good,good,security,Machine Learning,developer,no,Health,Technical,hard worker,yes,yes,Big Data Engineer
7,3,1,8,yes,no,blockchain developer,Blockchain Technologies,good,excellent,security,Blockchain Development,Product based,yes,Self help,Technical,hard worker,yes,yes,Blockchain Developer
1,1,8,4,no,yes,Cybersecurity,AI,very good,good,security,Machine Learning,Web Services,no,History,Technical,hard worker,yes,no,Cybersecurity Analyst
9,7,2,8,no,yes,Robotics Engineering Certification,Cloud Computing,medium,good,developer,Cloud Computing,developer,yes,Self help,Technical,hard worker,yes,yes,Cloud Solutions Architect
8,3,9,8,no,yes,robotics process automation (RPA),Robotic Process Automation (RPA),very good,medium,cloud computing,Robotics,IoT Startups,yes,Action and Adventure,Management,hard worker,no,yes,IT Project Manager
1,6,2,3,yes,yes,Product Management Professional (PMP),Product Management,very good,good,developer,Product Management,Product based,no,Mystery,Management,hard worker,yes,yes,Product Manager
6,8,4,6,yes,yes,Certified AI Engineer,Cloud Computing,very good,excellent,developer,Cloud Computing,developer,yes,Science,Technical,smart worker,yes,yes,Cloud Solutions Architect
2,9,10,9,yes,no,Certified ERP Consultant,ERP Systems,excellent,good,security,ERP,Service Based,yes,Cookbooks,Management,hard worker,no,no,ERP Consultant
10,4,7,10,yes,no,robotics process automation (RPA),Robotic Process Automation (RPA),excellent,very good,security,Robotics,IoT Startups,no,Guide,Management,smart worker,no,yes,IT Project Manager
1,7,6,3,yes,yes,Certified AI Engineer,Cloud Computing,good,medium,cloud computing,Cloud Computing,developer,yes,Math,Technical,hard worker,yes,yes,Cloud Solutions Architect
8,7,7,7,no,yes,Data Science,Machine Learning,good,medium,cloud computing,Machine Learning,Data Science Firms,yes,Biographies,Technical,hard worker,yes,yes,Big Data Engineer
8,8,1,3,no,no,ar/vr development,AR/VR Development,very good,good,security,Software Development,Product based,no,Guide,Technical,smart worker,no,yes,Systems Analyst
2,6,3,9,no,yes,ai for healthcare,AI for Healthcare,very good,good,cloud computing,AI Research,security,no,Self help,Technical,hard worker,no,yes,AI Specialist
8,7,2,1,yes,yes,Cybersecurity,Cybersecurity,medium,very good,security,AI,Big Data Companies,no,Action and Adventure,Technical,smart worker,yes,no,Cybersecurity Analyst
7,8,3,4,no,yes,Certified AI Engineer,Cloud Computing,very good,medium,developer,Cloud Computing,developer,yes,Autobiographies,Technical,smart worker,no,yes,Cloud Solutions Architect
9,2,6,1,yes,no,devops certified engineer,DevOps,good,very good,cloud computing,DevOps,Testing and Maintainance Services,no,Science,Technical,smart worker,yes,yes,DevOps Engineer
3,8,3,9,no,no,Product Management Professional (PMP),Product Management,excellent,medium,cloud computing,Product Management,Sales and Marketing,no,Biographies,Management,hard worker,no,no,Product Manager
7,0,10,7,yes,no,Product Management Professional (PMP),Product Management,medium,very good,security,Product Management,Service Based,no,Guide,Management,smart worker,yes,yes,Product Manager
2,10,7,8,no,yes,Data Science,AI,medium,good,cloud computing,AI,Web Services,no,Dictionaries,Technical,smart worker,no,no,Data Scientist
3,2,9,2,no,no,blockchain developer,Blockchain Technologies,medium,excellent,security,Blockchain Development,Product based,no,Mystery,Technical,smart worker,no,yes,Blockchain Developer
8,0,7,6,yes,no,Machine Learning,Machine Learning,excellent,medium,security,AI,developer,yes,Guide,Technical,smart worker,no,yes,Machine Learning Engineer
8,2,1,1,no,yes,ai for healthcare,AI for Healthcare,medium,very good,cloud computing,AI Research,AI Research Labs,no,Cookbooks,Technical,hard worker,no,yes,AI Specialist
5,6,9,10,no,no,Certified AI Engineer,Cloud Computing,good,good,developer,Cloud Computing,developer,yes,Dictionaries,Technical,smart worker,no,no,Cloud Solutions Architect
8,2,9,1,yes,no,Robotics Engineering Certification,Cloud Computing,medium,very good,security,Cloud Computing,developer,yes,Autobiographies,Technical,hard worker,no,yes,Cloud Solutions Architect
7,2,10,7,yes,no,Robotics Engineering Certification,Cloud Computing,excellent,good,security,Cloud Computing,developer,yes,Health,Technical,smart worker,yes,no,Cloud Solutions Architect
3,3,2,3,yes,yes,Certified ERP Consultant,ERP Systems,excellent,excellent,cloud computing,ERP,Sales and Marketing,yes,Math,Management,hard worker,no,yes,ERP Consultant
6,4,9,5,no,yes,robotics process automation (RPA),Robotic Process Automation (RPA),medium,medium,security,Robotics,Cybersecurity Firms,yes,Self help,Management,smart worker,no,no,IT Project Manager
4,1,4,6,no,yes,Robotics Engineering Certification,Cloud Computing,very good,medium,developer,Cloud Computing,developer,yes,Poetry,Technical,smart worker,no,no,Cloud Solutions Architect
9,8,7,3,no,yes,Machine Learning,Machine Learning,medium,excellent,developer,AI,IoT Startups,no,Dictionaries,Technical,smart worker,yes,yes,Machine Learning Engineer
10,8,1,1,yes,no,Robotics Engineering Certification,Cloud Computing,medium,excellent,cloud computing,Cloud Computing,developer,no,Self help,Technical,smart worker,no,yes,Cloud Solutions Architect
5,1,2,8,yes,no,Quantum Computing Certification,Cloud Computing,good,medium,developer,Cloud Computing,developer,no,Self help,Technical,smart worker,no,yes,Cloud Solutions Architect
8,10,2,1,no,no,ai for healthcare,AI for Healthcare,very good,very good,cloud computing,AI Research,Big Data Companies,yes,Childrens,Technical,hard worker,yes,yes,AI Specialist
4,1,7,7,yes,no,blockchain developer,Blockchain Technologies,very good,medium,security,Blockchain Development,Big Data Companies,no,Self help,Technical,smart worker,yes,no,Blockchain Developer
8,4,1,6,yes,yes,Robotics Engineering Certification,Cloud Computing,very good,excellent,developer,Cloud Computing,developer,no,Science fiction,Technical,hard worker,no,yes,Cloud Solutions Architect
5,9,8,10,no,yes,Cybersecurity,Cybersecurity,good,medium,developer,AI,Big Data Companies,no,Cookbooks,Technical,smart worker,yes,yes,Cybersecurity Analyst
6,10,3,5,yes,yes,robotics process automation (RPA),Robotic Process Automation (RPA),excellent,good,security,Robotics,Web Services,yes,Health,Management,hard worker,yes,yes,IT Project Manager
7,2,8,9,no,no,Quantum Computing Certification,Cloud Computing,good,very good,developer,Cloud Computing,developer,yes,Comics,Technical,hard worker,no,yes,Cloud Solutions Architect
8,0,10,1,yes,yes,Certified ERP Consultant,ERP Systems,very good,excellent,security,ERP,Finance,yes,Fantasy,Management,smart worker,yes,no,ERP Consultant
6,6,2,7,yes,yes,blockchain developer,Blockchain Technologies,good,good,cloud computing,Blockchain Development,Big Data Companies,yes,Science,Technical,smart worker,no,no,Blockchain Developer
10,8,3,5,no,yes,ar/vr development,AR/VR Development,very good,very good,developer,Web Development,developer,yes,Journals,Technical,hard worker,no,no,Systems Analyst
6,5,7,9,no,no,devops certified engineer,DevOps,medium,medium,cloud computing,DevOps,IoT Startups,yes,Mystery,Technical,smart worker,yes,yes,DevOps Engineer
8,0,8,1,yes,no,robotics process automation (RPA),Robotic Process Automation (RPA),excellent,very good,cloud computing,Robotics,AI Research Labs,no,Comics,Management,hard worker,no,no,IT Project Manager
10,2,3,6,yes,no,Quantum Computing Certification,Cloud Computing,good,excellent,developer,Cloud Computing,developer,no,Drama,Technical,smart worker,yes,no,Cloud Solutions Architect
6,8,10,4,no,no,Certified AI Engineer,Cloud Computing,medium,good,developer,Cloud Computing,developer,yes,Action and Adventure,Technical,smart worker,no,yes,Cloud Solutions Architect
6,5,1,10,no,yes,robotics process automation (RPA),Robotic Process Automation (RPA),good,good,developer,Robotics,developer,yes,Poetry,Management,hard worker,yes,no,IT Project Manager
9,8,7,7,yes,no,Machine Learning,AI,excellent,medium,developer,AI,IoT Startups,yes,Autobiographies,Technical,hard worker,yes,yes,Machine Learning Engineer
5,9,9,2,yes,no,Cybersecurity,AI,excellent,excellent,cloud computing,Machine Learning,IoT Startups,no,Dictionaries,Technical,smart worker,yes,yes,Cybersecurity Analyst
8,9,2,9,yes,no,Machine Learning,AI,very good,medium,security,AI,Data Science Firms,yes,Autobiographies,Technical,hard worker,yes,no,Machine Learning Engineer
8,7,8,9,yes,yes,Quantum Computing Certification,Cloud Computing,excellent,excellent,developer,Cloud Computing,developer,no,Travel,Technical,smart worker,yes,yes,Cloud Solutions Architect
8,2,3,7,no,no,Robotics Engineering Certification,Cloud Computing,very good,excellent,cloud computing,Cloud Computing,developer,yes,Guide,Technical,smart worker,no,yes,Cloud Solutions Architect
8,8,8,4,no,yes,Robotics Engineering Certification,Cloud Computing,very good,very good,security,Cloud Computing,developer,no,Comics,Technical,smart worker,no,no,Cloud Solutions Architect
8,9,1,10,no,yes,Certified AI Engineer,Cloud Computing,good,medium,security,Cloud Computing,developer,no,Autobiographies,Technical,hard worker,yes,no,Cloud Solutions Architect
5,8,4,5,no,yes,Machine Learning,Machine Learning,good,medium,cloud computing,AI,developer,yes,Comics,Technical,smart worker,no,no,Machine Learning Engineer
3,4,4,3,yes,no,Data Science,Data Science,medium,very good,cloud computing,AI,Web Services,yes,Guide,Technical,hard worker,yes,yes,Data Scientist
8,7,2,4,no,yes,robotics process automation (RPA),Robotic Process Automation (RPA),excellent,good,developer,Robotics,Web Services,no,Art,Management,smart worker,no,no,IT Project Manager
5,5,3,10,yes,no,Cybersecurity,Machine Learning,good,very good,security,Cybersecurity,Web Services,no,Horror,Technical,smart worker,yes,yes,Cybersecurity Analyst
9,8,8,9,yes,no,ai for healthcare,AI for Healthcare,medium,excellent,security,AI Research,security,no,Drama,Technical,hard worker,yes,yes,AI Specialist
4,5,1,3,no,yes,ar/vr development,AR/VR Development,good,medium,cloud computing,Software Development,IoT Startups,yes,Series,Technical,smart worker,no,no,Systems Analyst
6,7,10,7,yes,no,Quantum Computing Certification,Cloud Computing,medium,very good,security,Cloud Computing,developer,yes,Science,Technical,hard worker,no,yes,Cloud Solutions Architect
2,9,2,8,no,no,Robotics Engineering Certification,Cloud Computing,medium,excellent,developer,Cloud Computing,developer,no,Dictionaries,Technical,smart worker,no,yes,Cloud Solutions Architect
1,1,2,6,yes,yes,Cybersecurity,Machine Learning,very good,excellent,security,Machine Learning,IoT Startups,no,Cookbooks,Technical,hard worker,yes,yes,Cybersecurity Analyst
4,6,3,6,yes,no,Robotics Engineering Certification,Cloud Computing,good,medium,developer,Cloud Computing,developer,no,Health,Technical,smart worker,no,no,Cloud Solutions Architect
4,1,4,1,yes,no,Machine Learning,AI,excellent,very good,cloud computing,Machine Learning,IoT Startups,yes,Art,Technical,smart worker,yes,yes,Machine Learning Engineer
2,6,1,1,no,no,Robotics Engineering Certification,Cloud Computing,medium,very good,security,Cloud Computing,developer,yes,Series,Technical,hard worker,yes,no,Cloud Solutions Architect
1,3,8,5,yes,yes,devops certified engineer,DevOps,medium,very good,security,DevOps,Systems Analysis Firms,yes,Comics,Technical,hard worker,yes,no,DevOps Engineer
9,8,5,7,no,no,Certified ERP Consultant,ERP Systems,medium,good,security,ERP,Service Based,no,Series,Management,smart worker,no,no,ERP Consultant
2,5,1,7,yes,no,robotics process automation (RPA),Robotic Process Automation (RPA),excellent,excellent,security,Robotics,AI Research Labs,no,History,Management,smart worker,yes,yes,IT Project Manager
5,2,7,4,no,no,Data Science,Data Science,good,medium,security,AI,Big Data Companies,yes,Guide,Technical,hard worker,yes,yes,Data Scientist
10,10,5,8,yes,no,Product Management Professional (PMP),Product Management,good,very good,security,Product Management,Sales and Marketing,yes,Poetry,Management,hard worker,yes,no,Product Manager
8,10,9,5,yes,yes,ar/vr development,AR/VR Development,very good,good,cloud computing,Web Development,Sales and Marketing,no,Drama,Technical,smart worker,no,yes,Systems Analyst
6,8,10,5,yes,yes,Data Science,AI,good,excellent,cloud computing,Machine Learning,AI Research Labs,yes,Drama,Technical,smart worker,yes,no,Big Data Engineer
8,5,1,4,yes,yes,Quantum Computing Certification,Cloud Computing,very good,good,cloud computing,Cloud Computing,developer,no,Horror,Technical,hard worker,no,yes,Cloud Solutions Architect
9,7,8,1,yes,no,ai for healthcare,AI for Healthcare,good,very good,security,AI Research,developer,yes,Fantasy,Technical,smart worker,no,yes,AI Specialist
4,6,9,6,yes,no,Quantum Computing Certification,Cloud Computing,very good,good,security,Cloud Computing,developer,yes,Horror,Technical,hard worker,no,yes,Cloud Solutions Architect
5,5,8,3,no,yes,Quantum Computing Certification,Cloud Computing,excellent,medium,cloud computing,Cloud Computing,developer,yes,Travel,Technical,hard worker,yes,no,Cloud Solutions Architect
5,10,6,9,no,yes,Quantum Computing Certification,Cloud Computing,excellent,excellent,developer,Cloud Computing,developer,no,Comics,Technical,hard worker,yes,yes,Cloud Solutions Architect
1,5,5,8,no,no,Cybersecurity,Machine Learning,very good,good,security,Cybersecurity,Cybersecurity Firms,yes,Horror,Technical,hard worker,yes,no,Cybersecurity Analyst
1,4,9,10,no,yes,Robotics Engineering Certification,Cloud Computing,good,medium,developer,Cloud Computing,developer,no,Science fiction,Technical,hard worker,no,no,Cloud Solutions Architect
6,6,5,3,yes,no,ai for healthcare,AI for Healthcare,medium,good,cloud computing,AI Research,Product based,no,Comics,Technical,smart worker,yes,no,AI Specialist
7,10,2,10,yes,yes,Data Science,AI,medium,good,security,Machine Learning,developer,no,Comics,Technical,smart worker,yes,yes,Data Scientist
6,1,4,6,yes,yes,Data Science,Machine Learning,excellent,good,cloud computing,Data Science,Product based,no,Childrens,Technical,smart worker,yes,no,Data Scientist
8,2,2,1,no,no,Product Management Professional (PMP),Product Management,medium,very good,security,Product Management,Sales and Marketing,no,Journals,Management,smart worker,no,yes,Product Manager
9,2,4,2,no,no,Certified ERP Consultant,ERP Systems,medium,medium,cloud computing,ERP,Service Based,no,Guide,Management,smart worker,no,yes,ERP Consultant
7,7,1,4,no,no,ai for healthcare,AI for Healthcare,medium,medium,security,AI Research,AI Research Labs,no,Poetry,Technical,hard worker,no,no,AI Specialist
8,1,2,5,yes,yes,Product Management Professional (PMP),Product Management,good,very good,developer,Product Management,Sales and Marketing,yes,Art,Management,smart worker,yes,no,Product Manager
6,3,9,6,no,yes,Certified AI Engineer,Cloud Computing,good,medium,developer,Cloud Computing,developer,no,Comics,Technical,hard worker,yes,yes,Cloud Solutions Architect
5,9,6,9,yes,yes,Quantum Computing Certification,Cloud Computing,very good,excellent,developer,Cloud Computing,developer,no,Poetry,Technical,hard worker,no,yes,Cloud Solutions Architect
5,4,10,5,yes,no,Product Management Professional (PMP),Product Management,excellent,good,cloud computing,Product Management,Service Based,no,Guide,Management,hard worker,no,no,Product Manager
6,1,9,6,no,no,ai for healthcare,AI for Healthcare,very good,excellent,cloud computing,AI Research,AI Research Labs,yes,Cookbooks,Technical,hard worker,yes,yes,AI Specialist
3,0,4,8,no,no,Cybersecurity,AI,excellent,medium,cloud computing,Cybersecurity,Big Data Companies,no,Science fiction,Technical,smart worker,yes,no,Cybersecurity Analyst
10,6,2,1,yes,yes,Product Management Professional (PMP),Product Management,good,medium,cloud computing,Product Management,Product based,yes,Math,Management,hard worker,no,yes,Product Manager
1,6,1,8,yes,yes,Cybersecurity,AI,excellent,good,developer,AI,security,yes,Fantasy,Technical,hard worker,yes,yes,Cybersecurity Analyst
5,8,7,5,no,no,Certified AI Engineer,Cloud Computing,excellent,excellent,developer,Cloud Computing,developer,no,Action and Adventure,Technical,smart worker,no,yes,Cloud Solutions Architect
6,2,2,9,no,yes,devops certified engineer,DevOps,good,very good,developer,DevOps,security,yes,Science fiction,Technical,smart worker,yes,yes,DevOps Engineer
8,5,10,8,no,no,devops certified engineer,DevOps,medium,excellent,cloud computing,DevOps,Systems Analysis Firms,yes,Science fiction,Technical,hard worker,yes,no,DevOps Engineer
9,1,6,4,no,yes,Robotics Engineering Certification,Cloud Computing,good,excellent,cloud computing,Cloud Computing,developer,yes,Biographies,Technical,smart worker,no,yes,Cloud Solutions Architect
8,4,8,2,no,yes,Robotics Engineering Certification,Cloud Computing,good,excellent,cloud computing,Cloud Computing,developer,yes,Series,Technical,hard worker,no,no,Cloud Solutions Architect
6,0,3,6,no,yes,devops certified engineer,DevOps,very good,medium,security,DevOps,IoT Startups,yes,Art,Technical,hard worker,yes,yes,DevOps Engineer
1,7,8,2,yes,no,Product Management Professional (PMP),Product Management,medium,excellent,developer,Product Management,Product based,yes,History,Management,hard worker,yes,no,Product Manager
6,4,6,10,no,yes,Quantum Computing Certification,Cloud Computing,excellent,excellent,security,Cloud Computing,developer,yes,Travel,Technical,smart worker,yes,yes,Cloud Solutions Architect
3,9,1,1,yes,no,Robotics Engineering Certification,Cloud Computing,good,excellent,security,Cloud Computing,developer,no,Series,Technical,smart worker,yes,no,Cloud Solutions Architect
6,5,8,10,yes,yes,Quantum Computing Certification,Cloud Computing,very good,good,security,Cloud Computing,developer,no,Guide,Technical,smart worker,yes,no,Cloud Solutions Architect
1,0,7,9,no,yes,ar/vr development,AR/VR Development,excellent,good,developer,Software Development,Sales and Marketing,yes,Science fiction,Technical,smart worker,no,yes,Systems Analyst
3,10,3,5,no,no,Product Management Professional (PMP),Product Management,good,medium,cloud computing,Product Management,Service Based,yes,Poetry,Management,hard worker,no,no,Product Manager
5,5,8,4,no,yes,robotics process automation (RPA),Robotic Process Automation (RPA),medium,excellent,security,Robotics,Web Services,no,Self help,Management,smart worker,yes,yes,IT Project Manager
3,6,2,8,yes,yes,ar/vr development,AR/VR Development,excellent,very good,cloud computing,Software Development,IoT Startups,yes,Biographies,Technical,hard worker,yes,no,Systems Analyst
3,7,4,1,no,yes,Certified AI Engineer,Cloud Computing,medium,medium,developer,Cloud Computing,developer,yes,Dictionaries,Technical,hard worker,yes,no,Cloud Solutions Architect
10,3,5,4,no,yes,ai for healthcare,AI for Healthcare,very good,good,cloud computing,AI Research,Web Services,yes,Health,Technical,smart worker,yes,no,AI Specialist
6,8,9,7,yes,no,Quantum Computing Certification,Cloud Computing,excellent,good,security,Cloud Computing,developer,no,Travel,Technical,smart worker,yes,yes,Cloud Solutions Architect
9,10,10,8,no,yes,Cybersecurity,Cybersecurity,medium,very good,cloud computing,Cybersecurity,Web Services,no,Self help,Technical,smart worker,yes,yes,Cybersecurity Analyst
10,6,5,4,yes,no,Cybersecurity,AI,good,medium,cloud computing,Machine Learning,AI Research Labs,yes,Journals,Technical,smart worker,yes,no,Cybersecurity Analyst
8,1,2,5,no,yes,Quantum Computing Certification,Cloud Computing,good,very good,developer,Cloud Computing,developer,no,Math,Technical,hard worker,no,no,Cloud Solutions Architect
10,1,5,3,no,yes,blockchain developer,Blockchain Technologies,medium,excellent,cloud computing,Blockchain Development,Data Science Firms,yes,Journals,Technical,hard worker,yes,no,Blockchain Developer
5,8,9,7,no,yes,Certified ERP Consultant,ERP Systems,excellent,excellent,developer,ERP,Finance,yes,Biographies,Management,hard worker,yes,yes,ERP Consultant
1,6,2,7,yes,yes,Data Science,Machine Learning,good,excellent,developer,AI,IoT Startups,yes,Cookbooks,Technical,hard worker,no,no,Data Scientist
4,9,5,8,yes,no,ai for healthcare,AI for Healthcare,good,medium,security,AI Research,Web Services,no,Guide,Technical,smart worker,yes,yes,AI Specialist
7,2,4,4,yes,yes,robotics process automation (RPA),Robotic Process Automation (RPA),very good,good,security,Robotics,IoT Startups,no,Mystery,Management,smart worker,no,no,IT Project Manager
2,8,4,3,yes,no,Machine Learning,Machine Learning,medium,medium,cloud computing,Machine Learning,Big Data Companies,no,Cookbooks,Technical,hard worker,yes,no,Machine Learning Engineer
2,4,8,10,yes,no,robotics process automation (RPA),Robotic Process Automation (RPA),good,very good,cloud computing,Robotics,developer,yes,Comics,Management,hard worker,yes,yes,IT Project Manager
5,1,2,10,yes,yes,devops certified engineer,DevOps,medium,medium,security,DevOps,security,yes,Mystery,Technical,smart worker,yes,no,DevOps Engineer
4,9,7,5,no,yes,devops certified engineer,DevOps,medium,good,developer,DevOps,Data Science Firms,no,Journals,Technical,hard worker,no,no,DevOps Engineer
7,2,4,9,no,yes,Quantum Computing Certification,Cloud Computing,very good,medium,cloud computing,Cloud Computing,developer,yes,Cookbooks,Technical,smart worker,yes,no,Cloud Solutions Architect
2,9,10,5,yes,no,Robotics Engineering Certification,Cloud Computing,excellent,very good,security,Cloud Computing,developer,yes,Action and Adventure,Technical,hard worker,yes,no,Cloud Solutions Architect
6,9,6,6,no,no,Certified ERP Consultant,ERP Systems,good,very good,security,ERP,Product based,yes,History,Management,smart worker,no,no,ERP Consultant
5,0,3,1,yes,no,ar/vr development,AR/VR Development,good,very good,security,Web Development,developer,yes,Biographies,Technical,hard worker,yes,no,Systems Analyst
7,0,7,8,no,no,ar/vr development,AR/VR Development,good,very good,cloud computing,Software Development,developer,yes,Travel,Technical,hard worker,no,no,Systems Analyst
6,4,9,1,yes,yes,Product Management Professional (PMP),Product Management,medium,good,cloud computing,Product Management,Finance,no,Drama,Management,hard worker,no,no,Product Manager
6,3,2,4,no,no,Certified AI Engineer,Cloud Computing,excellent,excellent,cloud computing,Cloud Computing,developer,yes,Cookbooks,Technical,smart worker,yes,no,Cloud Solutions Architect
8,0,4,10,yes,yes,Data Science,Machine Learning,medium,excellent,security,Machine Learning,Product based,no,Journals,Technical,smart worker,no,no,Big Data Engineer
4,8,2,3,yes,yes,devops certified engineer,DevOps,very good,medium,security,DevOps,developer,yes,Comics,Technical,hard worker,no,no,DevOps Engineer
7,5,8,1,yes,no,Machine Learning,Machine Learning,medium,very good,security,AI,Web Services,no,Art,Technical,smart worker,yes,yes,Machine Learning Engineer
1,7,1,1,yes,no,ar/vr development,AR/VR Development,very good,very good,security,Software Development,Web Services,no,Journals,Technical,hard worker,yes,yes,Systems Analyst
5,4,5,9,no,yes,Product Management Professional (PMP),Product Management,medium,very good,security,Product Management,Service Based,no,Autobiographies,Management,smart worker,yes,yes,Product Manager
2,5,10,2,no,yes,Product Management Professional (PMP),Product Management,medium,very good,developer,Product Management,Sales and Marketing,yes,History,Management,smart worker,yes,no,Product Manager
2,8,9,5,yes,no,Certified AI Engineer,Cloud Computing,medium,good,security,Cloud Computing,developer,yes,Travel,Technical,hard worker,no,no,Cloud Solutions Architect
4,5,8,4,no,no,Product Management Professional (PMP),Product Management,excellent,very good,developer,Product Management,Product based,yes,Math,Management,smart worker,yes,no,Product Manager
